2.570000000000000000e+02,6.700000000000000000e+01,2.830000000000000000e+02,1.130000000000000000e+02
2.200000000000000000e+02,6.010000000000000000e+02,2.410000000000000000e+02,6.200000000000000000e+02
2.420000000000000000e+02,2.400000000000000000e+01,2.690000000000000000e+02,6.400000000000000000e+01
2.090000000000000000e+02,5.710000000000000000e+02,2.260000000000000000e+02,5.910000000000000000e+02
2.150000000000000000e+02,5.870000000000000000e+02,2.340000000000000000e+02,6.060000000000000000e+02
2.020000000000000000e+02,5.590000000000000000e+02,2.180000000000000000e+02,5.740000000000000000e+02
2.640000000000000000e+02,1.120000000000000000e+02,3.010000000000000000e+02,1.720000000000000000e+02
1.910000000000000000e+02,5.270000000000000000e+02,2.030000000000000000e+02,5.410000000000000000e+02
1.850000000000000000e+02,5.100000000000000000e+02,1.960000000000000000e+02,5.230000000000000000e+02
1.960000000000000000e+02,5.440000000000000000e+02,2.080000000000000000e+02,5.610000000000000000e+02
2.370000000000000000e+02,0.000000000000000000e+00,2.580000000000000000e+02,2.500000000000000000e+01
1.910000000000000000e+02,4.160000000000000000e+02,2.050000000000000000e+02,4.460000000000000000e+02
1.810000000000000000e+02,5.000000000000000000e+02,1.900000000000000000e+02,5.110000000000000000e+02
1.870000000000000000e+02,5.210000000000000000e+02,2.000000000000000000e+02,5.340000000000000000e+02
1.820000000000000000e+02,5.070000000000000000e+02,1.910000000000000000e+02,5.200000000000000000e+02
1.790000000000000000e+02,4.910000000000000000e+02,1.880000000000000000e+02,5.060000000000000000e+02
